,file_name,lexico_total,sentilex_total,oplexicon_total,vader_total,textblob_total,Lexico Avg Score,Sentilex Avg Score,OPLexicon Avg Score,Vader Avg Score,TextBlob Avg Score,Overall Sentiment Score
0,COPEL_Release de Resultados 1T19.pdf,-9,276,-14,-39.18359999999997,3.741071428571428,-0.020089285714285716,0.6160714285714286,-0.03125,-0.08746339285714279,0.008350605867346938,0.009361383928571379
1,COPEL_Release de Resultados 2T19.pdf,8,302,-15,-49.63479999999997,2.7820634920634926,0.016701461377870562,0.6304801670146137,-0.031315240083507306,-0.10362171189979116,0.005808065745435267,0.035694989561586676
2,COPEL_Release de Resultados 3T19.pdf,92,370,64,-52.909399999999984,-0.0174603174603174,0.18326693227091634,0.7370517928286853,0.12749003984063745,-0.10539721115537845,-3.478150888509442e-05,0.16568326693227084
3,COPEL_Release de Resultados 4T19.pdf,-61,5,-76,-19.276299999999992,-2.576111111111111,-0.48031496062992124,0.03937007874015748,-0.5984251968503937,-0.15178188976377946,-0.020284339457567805,-0.6109771653543307
4,COPEL_Release de Resultados 1T20.pdf,0,295,-37,-40.81719999999995,2.123333333333333,0.0,0.667420814479638,-0.083710407239819,-0.09234660633484151,0.004803921568627451,0.0017832579185520438
5,COPEL_Release de Resultados 2T20.pdf,60,306,-1,-41.67309999999998,-8.536111111111111,0.13071895424836602,0.6666666666666666,-0.002178649237472767,-0.09079106753812631,-0.018597191963205036,0.08414945533769067
6,COPEL_Release de Resultados 3T20.pdf,29,303,-22,-37.81619999999998,4.098333333333333,0.06359649122807018,0.6644736842105263,-0.04824561403508772,-0.0829302631578947,0.008987573099415204,0.02029385964912282
7,COPEL_Release de Resultados 4T20.pdf,15,315,-18,-42.187199999999976,4.59333333333333,0.031914893617021274,0.6702127659574468,-0.03829787234042553,-0.08975999999999995,0.009773049645390065,0.005836808510638308
8,COPEL_Release de Resultados 1T21.pdf,-7,273,-65,-37.047199999999975,0.8065151515151516,-0.016867469879518072,0.6578313253012048,-0.1566265060240964,-0.08927036144578307,0.0019434100036509678,-0.060423132530120466
9,COPEL_Release de Resultados 2T21.pdf,55,348,15,-52.16069999999996,-7.026031746031747,0.10617760617760617,0.6718146718146718,0.02895752895752896,-0.10069633204633198,-0.013563767849482137,0.1072864864864865
10,COPEL_Release de Resultados 3T21.pdf,64,417,58,-55.06339999999997,-3.674285714285716,0.1292929292929293,0.8424242424242424,0.11717171717171718,-0.11123919191919186,-0.0074227994227994264,0.2046385858585858
11,COPEL_Release de Resultados 4T21.pdf,67,328,8,-54.21249999999998,-7.783253968253975,0.1691919191919192,0.8282828282828283,0.020202020202020204,-0.13690025252525248,-0.019654681738015087,0.11484545454545458
12,COPEL_Release de Resultados 1T22.pdf,31,285,-22,-43.69379999999996,-3.4371642246642247,0.1,0.9193548387096774,-0.07096774193548387,-0.14094774193548373,-0.011087626531174918,-0.04382612903225803
13,COPEL_Release de Resultados 2T22.pdf,127,358,44,-49.28199999999996,-3.1558970658970655,0.3239795918367347,0.9132653061224489,0.11224489795918367,-0.12571938775510194,-0.008050757821165983,0.23427984693877543
14,COPEL_Release de Resultados 3T22.pdf,116,328,44,-44.840899999999955,-3.919482924482924,0.29743589743589743,0.841025641025641,0.11282051282051282,-0.11497666666666655,-0.010049956216622882,0.2747894871794872
