Row Labels;Sum of count;Sum of Found Lexico;Sum of Found OPLexico;Sum of Found senti_lex;Sum of Found Vader;Sum of Found Text;%_Lexico;%_OPLexico;%_senti_lex;%_Vader;%_Textblob
COPEL;109584;5767;6911;1139;241;118;5%;6%;1%;0%;0%
ROMI;37279;2900;3672;686;109;81;8%;10%;2%;0%;0%
TAESA;64065;4493;5588;1068;160;104;7%;9%;2%;0%;0%
UNIPAR;34820;2640;3362;589;89;81;8%;10%;2%;0%;0%
VIVO;32056;2501;3173;600;109;70;8%;10%;2%;0%;0%
Grand Total;277804;18301;22706;4082;708;454;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;Empresa;%_Lexico;%_OPLexico;%_senti_lex;%_Vader;%_Textblob;;;
;;;COPEL;5,3%;6,3%;1,0%;0,2%;0,1%;;;
;;;ROMI;7,8%;9,9%;1,8%;0,3%;0,2%;;;
;;;TAESA;7,0%;8,7%;1,7%;0,2%;0,2%;;;
;;;UNIPAR;7,6%;9,7%;1,7%;0,3%;0,2%;;;
;;;VIVO;7,8%;9,9%;1,9%;0,3%;0,2%;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;Malu;Kevin;;;;;
;;;;;18;14;;;;;
;;;;;40;44;;;;;
;;;;;10;10;;;;;
;;;;;68;68;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;24;;;;;;
;;;;;38;;;;;;
;;;;;6;;;;;;
;;;;;6;;;;;;
;;;;;74;18,5;;;;;
